Date,GSCPI,KEY_RISK_INDICATOR_ID
31-Jan-1998,-1.0828779186089943,4
28-Feb-1998,-0.4554707793013453,4
31-Mar-1998,-0.0784395175501716,4
30-Apr-1998,-0.1372790759035043,4
31-May-1998,-0.4370150259266804,4
30-Jun-1998,-0.7483953315997547,4
31-Jul-1998,-0.9241293488117208,4
31-Aug-1998,-0.8857857709258946,4
30-Sep-1998,-0.8934514726092488,4
31-Oct-1998,-0.6709286099078232,4
30-Nov-1998,-0.8361372685448508,4
31-Dec-1998,-0.5847207407373983,4
31-Jan-1999,-0.259534008998773,4
28-Feb-1999,0.0227449037294624,4
31-Mar-1999,-0.2617500301646641,4
30-Apr-1999,-0.2113837749145012,4
31-May-1999,-0.33959010735619,4
30-Jun-1999,-0.3611228538033354,4
31-Jul-1999,-0.6055272360611577,4
31-Aug-1999,-0.4447758601830259,4
30-Sep-1999,-0.3823946733180124,4
31-Oct-1999,-0.1222650906422404,4
30-Nov-1999,-0.1644529445837844,4
31-Dec-1999,-0.1975656997121817,4
31-Jan-2000,-0.6008049456431561,4
29-Feb-2000,-0.4022172931752908,4
31-Mar-2000,-0.283132445912712,4
30-Apr-2000,0.1373289938447456,4
31-May-2000,0.2884557980308325,4
30-Jun-2000,0.0465710602599454,4
31-Jul-2000,-0.0037447666335295,4
31-Aug-2000,0.0932125766068316,4
30-Sep-2000,0.0535166966567664,4
31-Oct-2000,-0.4967835678950754,4
30-Nov-2000,-0.7099550471802742,4
31-Dec-2000,-0.8988612692888465,4
31-Jan-2001,-0.8870687177279516,4
28-Feb-2001,-0.7528116157735192,4
31-Mar-2001,-0.5605241986691244,4
30-Apr-2001,-0.9609186517761612,4
31-May-2001,-1.08048945709894,4
30-Jun-2001,-0.6635161910595166,4
31-Jul-2001,-0.7774319865245285,4
31-Aug-2001,-0.7388578479480707,4
30-Sep-2001,-0.6355967009847404,4
31-Oct-2001,-1.170067976170083,4
30-Nov-2001,-1.386147826597098,4
31-Dec-2001,-1.1162216308499824,4
31-Jan-2002,-0.8650216364672277,4
28-Feb-2002,-0.4324319317427205,4
31-Mar-2002,-0.4082733241460118,4
30-Apr-2002,-0.5539550657988596,4
31-May-2002,-0.2740195270388251,4
30-Jun-2002,-0.5982267424820391,4
31-Jul-2002,-0.9141675118261366,4
31-Aug-2002,-1.052855523443084,4
30-Sep-2002,-1.1102685861350354,4
31-Oct-2002,-1.2085750429455002,4
30-Nov-2002,-0.7028914373065005,4
31-Dec-2002,-0.6643218507697696,4
31-Jan-2003,-0.6048710363698726,4
28-Feb-2003,-0.2791079557586994,4
31-Mar-2003,-0.3045829462066105,4
30-Apr-2003,-0.5420102675619055,4
31-May-2003,-0.1946526013934914,4
30-Jun-2003,-0.1020952926579282,4
31-Jul-2003,0.013265585471097,4
31-Aug-2003,-0.0611123131060861,4
30-Sep-2003,0.068063529529123,4
31-Oct-2003,-0.2563080491809992,4
30-Nov-2003,-0.4114541468745215,4
31-Dec-2003,-0.3660514503021884,4
31-Jan-2004,-0.5010822665849929,4
29-Feb-2004,-0.3734460448296,4
31-Mar-2004,-0.0102573933951834,4
30-Apr-2004,0.4074919343729811,4
31-May-2004,0.3488398126680914,4
30-Jun-2004,0.4180160784110289,4
31-Jul-2004,-0.4475198977776846,4
31-Aug-2004,0.0716184967527856,4
30-Sep-2004,-0.0071681250453002,4
31-Oct-2004,-0.5961026697395545,4
30-Nov-2004,-0.0431662059053034,4
31-Dec-2004,0.1133306258137766,4
31-Jan-2005,-0.0956489324657658,4
28-Feb-2005,-0.1119070776464566,4
31-Mar-2005,-0.2615921083895052,4
30-Apr-2005,-1.295894893034212,4
31-May-2005,-0.960687013314222,4
30-Jun-2005,-0.9224626381154538,4
31-Jul-2005,-0.8638103022527419,4
31-Aug-2005,-0.4783431233325431,4
30-Sep-2005,0.0816640639804109,4
31-Oct-2005,-0.0800012088182551,4
30-Nov-2005,-0.6319019239288263,4
31-Dec-2005,-0.6868803441789746,4
31-Jan-2006,-0.3578929786503693,4
28-Feb-2006,-0.7312106294795581,4
31-Mar-2006,-0.3875060245918996,4
30-Apr-2006,0.1048545453782504,4
31-May-2006,0.1056579875913055,4
30-Jun-2006,0.1640256668407322,4
31-Jul-2006,-0.0920944155897852,4
31-Aug-2006,0.066320777360691,4
30-Sep-2006,-0.627205425267245,4
31-Oct-2006,-0.498257284175492,4
30-Nov-2006,-0.2195340350060006,4
31-Dec-2006,-0.4493399542498217,4
31-Jan-2007,-0.8611373336970077,4
28-Feb-2007,-0.711489247023335,4
31-Mar-2007,-0.5829085147567907,4
30-Apr-2007,-0.81194218294961,4
31-May-2007,-0.4088988551896113,4
30-Jun-2007,-0.3664868055938863,4
31-Jul-2007,-0.423650553276011,4
31-Aug-2007,-0.0990150035574951,4
30-Sep-2007,-0.0348168106840562,4
31-Oct-2007,-0.6044198937337469,4
30-Nov-2007,-0.4829873859616259,4
31-Dec-2007,-0.1440283957343076,4
31-Jan-2008,-0.3649639856817297,4
29-Feb-2008,0.4550991508878331,4
31-Mar-2008,0.154393858310631,4
30-Apr-2008,0.1409653489472967,4
31-May-2008,-0.1123109670919294,4
30-Jun-2008,0.2778100524087443,4
31-Jul-2008,1.003494519078609,4
31-Aug-2008,0.2832642703977655,4
30-Sep-2008,-0.5267804361287955,4
31-Oct-2008,-0.9726830610094204,4
30-Nov-2008,-1.5107425963260217,4
31-Dec-2008,-0.6861336846044083,4
31-Jan-2009,-0.3875179372001743,4
28-Feb-2009,-0.4235083395374722,4
31-Mar-2009,0.2010549932858613,4
